| Caso | Precondicion | Estado |
| 1321 | tipo Empresa | OK |
| 1321 | que disponga de recibos domiciliados cargados en cuenta | KO |
| 1341 | Disponer de un usuario autonomo o microempresa con una LIPO vigente sin deterioro, ni caducidad próxima y con disponible superior al mínimo de disposición sobre la que se haya realizado alguna disposición previa | KO |
| 1344 | Disponer de un usuario autónomo o microempresa con al menos una LIPO vigente cuyo importe disponible sea menor de 500 EUR | KO |
| 1346 | Disponer de un usuario autonomo o microempresa con una LIPO vigente sin deterioro, ni caducidad próxima y con disponible superior al mínimo de disposición | KO |
| 1348 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia | OK |
| 1348 | tipo Empresa | OK |
| 1348 | Al menos una línea de riesgo vigente que posea más de 20 movimientos. | KO |
| 1352 | Disponer de un usuario que disponga de un contrato de banca a distancia | OK |
| 1352 | Empresa | OK |
| 1352 | que posea varios contratos Marco | KO |
| 1354 | Disponer de un usuario que disponga de un contrato de banca a distancia | OK |
| 1354 | Empresa | OK |
| 1354 | y qie se haya conectado mas de una vez por algún canal | KO |
| 1356 | Disponer de un usuario que disponga de un contrato de banca a distancia | OK |
| 1356 | tipo Empresa | OK |
| 1356 | Sea apoderado de una empresa | KO |
| 1360 | Disponer de un usuario que contenga de un contrato de banca a distancia | OK |
| 1360 | tipo Empresa | OK |
| 1360 | Tenga una Tarjeta secundaria configurada | OK |
| 1362 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 1362 | de tipo Empresa | OK |
| 1362 | que se pueda logar en BSO | OK |
| 1381 | Usuario autónomo con banca a distancia Empresa | OK |
| 1381 | Usuario autónomo con banca a distancia Empresa | OK |
| 1381 | con tarjetas | OK |
| 1384 | Usuario con banca a distancia Empresa | OK |
| 1384 | con cuentas | OK |
| 1386 | Usuario con banca a distancia Empresa | OK |
| 1386 | con dos divisas | KO |
| 1388 | Usuario con banca a distancia Empresa | OK |
| 1388 | con firmas de fichero pendientes | KO |
| 1390 | Usuario con banca a distancia Empresa | OK |
| 1390 | con solo un contrato marco y firmas pendientes de operaciones | KO |
| 1392 | Usuario con banca a distancia Empresa | OK |
| 1392 | con mas de 10 cuentas | OK |
| 1396 | Usuario empresa con banca a distancia Empresa | OK |
| 1396 | con tarjetas | OK |
| 1398 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 1398 | de tipo Empresa | OK |
| 1398 | Disponga de tarjetas de crédito | OK |
| 1406 | Usuario con contrato de banca distancia autónomo (empresas) | OK |
| 1406 | con préstamo preconcedido con un titular (bureau S) y una única cuenta. | KO |
| 1408 | Usuario con contrato de banca distancia autónomo (empresas) | OK |
| 1408 | con préstamo preconcedido con dos titulares (bureau N) y varias cuentas | KO |
| 1410 | Disponer de un usuario que disponga de un contrato de banca a distancia | OK |
| 1410 | tipo Empresa | OK |
| 1410 | que disponga de alguna tarjeta con la marca Apple Pay y sea un usuario que tenga BSO | OK |
| 1414 | Usuario Empresa | OK |
| 1414 | Haber realizado transferencias | KO |
| 1414 | Tener Beneficiarios guardados | KO |
| 1416 | Disponer de un usuario que disponga de un contrato de banca a distancia | OK |
| 1416 | tipo Empresa | OK |
| 1416 | Pueda acceder como agente desde el acceso a empresas | KO |
| 1416 | El usuario Red de agente, NO debe poseer ninguna CCV en su contrato Empresa | KO |
| 1416 | El usuario Red de agente debe disponer de al menos un cliente con CCV contratadas | KO |
| 1419 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 1419 | tipo Autónomo | OK |
| 1419 | con firma VTPC1 | OK |
| 1419 | Debido a proyecto HDEV-408870, para que salte SCA es necesario que el usuario no sea de confianza para el dispositivo de prueba | KO |
| 1420 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 1420 | de tipo Empresa | OK |
| 1420 | que ya accedido a BSM alguna vez | OK |
| 1420 | Tenga configurada la firma VTPC1 | OK |
| 1421 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 1421 | tipo Particular | OK |
| 1421 | y no disponga de tarjetas de crédito o débito de Banco Sabadell | KO |
| 1421 | y la fecha de caducidad del DNI no esté informada en SIBIS. | KO |
| 1423 | Disponer de un usuario con contrato de banca a distancia | OK |
| 1423 | de tipo particular | OK |
| 1423 | Contrato de avisos y alertas activo | OK |
| 1423 | Notificaciones en el listado de notificaciones | KO |
| 1424 | Disponer de un usuario particular con contrato de banca a distancia | OK |
| 1424 | que tenga el servicio de Notificaciones activado. | KO |
| 1424 | Disponer de mensajes en el buzón para poder visualizarlos | KO |
| 1425 | Disponer de un usuario que tenga un contrato de banca a distancia | OK |
| 1425 | de | OK |
| 1425 | de tipo Particular | OK |
| 1425 | Debe tener cuentas a la vista | OK |
| 1425 | Disponer de un usuario enrolado en BIZUM | KO |
| 1425 | Disponer de un dispositivo que contenga un contacto con las siguiente características | KO |
| 1426 | Disponer de un usuario que tenga un contrato de banca a distancia | OK |
| 1426 | de | OK |
| 1426 | de tipo Particular | OK |
| 1426 | Debe tener cuentas a la vista | OK |
| 1426 | Disponer de un usuario enrolado en BIZUM | KO |
| 1426 | El usuario debe tener contactos asociados a su número de teléfono. | KO |
| 1426 | El usuario debe tener saldo suficiente en la cuenta para realizar la operación. | KO |
| 1427 | Disponer de un usuario que tenga un contrato de banca a distancia | OK |
| 1427 | de | OK |
| 1427 | de tipo Particular | OK |
| 1427 | Debe tener cuentas a la vista | OK |
| 1427 | Disponer de un usuario enrolado en BIZUM | KO |
| 1427 | Disponer un número de teléfono que no este asociado a bizum | KO |
| 1428 | Disponer de un usuario que tenga un contrato de banca a distancia | OK |
| 1428 | de | OK |
| 1428 | de tipo Particular | OK |
| 1428 | Debe tener cuentas a la vista | OK |
| 1428 | Disponer de un usuario enrolado en BIZUM | KO |
| 1428 | y en el móvil | KO |
| 1428 | El usuario debe tener contactos asociados a su número de teléfono. | KO |
| 1429 | Disponer de un usuario que tenga un contrato de banca a distancia | OK |
| 1429 | de | OK |
| 1429 | de tipo Particular | OK |
| 1429 | Debe tener cuentas a la vista | OK |
| 1429 | Disponer de un usuario enrolado en BIZUM | KO |
| 1429 | El usuario debe tener contactos asociados a su número de teléfono. | KO |
| 1429 | El usuario NO tiene dinero suficiente en la cuenta vinculada a BSW. | KO |
| 1430 | Disponer de un usuario que tenga un contrato de banca a distancia | OK |
| 1430 | de | OK |
| 1430 | de tipo Particular | OK |
| 1430 | Debe tener cuentas a la vista | OK |
| 1430 | El usuario no debe estar asociado a Bizum | KO |
| 1431 | Tener un usuario con contrato de banca a distancia | OK |
| 1431 | Particular | OK |
| 1431 | VTPC1 enrolado | OK |
| 1431 | e importe de la operación menor a 100€ | KO |
| 1431 | CON permisos a la agenda del teléfono | KO |
| 1432 | Tener un usuario Particular | OK |
| 1432 | VTPC1 que esté registrado en BIZUM | KO |
| 1432 | y tener activada la notificación Push en BSM. | OK |
| 1434 | Tener un usuario Particular | OK |
| 1434 | VTPC1 que esté registrado en el BIZUM | KO |
| 1434 | y tener activada la notificación Push en el BSM. | OK |
| 1436 | Tener un usuario Particular | OK |
| 1436 | VTPC1 que esté registrado en el BIZUM | KO |
| 1436 | tener activada la notificación Push en el BSM | OK |
| 1436 | y no tener la firma enrolada. | KO |
| 1437 | Disponer de un usuario que tenga un contrato de banca a distancia | OK |
| 1437 | de | OK |
| 1437 | de tipo Particular | OK |
| 1437 | Debe tener cuentas a la vista | OK |
| 1437 | Disponer de un usuario enrolado en BIZUM | KO |
| 1437 | El usuario debe tener contactos asociados a su número de teléfono. | KO |
| 1438 | Disponer de un usuario que tenga un contrato de banca a distancia | OK |
| 1438 | de | OK |
| 1438 | de tipo Particular | OK |
| 1438 | Debe tener cuentas a la vista | OK |
| 1438 | Disponer de un usuario enrolado en BIZUM | KO |
| 1439 | Disponer de un usuario particular con firma digital (vTPC2) | OK |
| 1439 | que tenga contrato de banca a distancia. | OK |
| 1440 | Disponer de un susuario con un contrato de banca a distancia empresa. | OK |
| 1440 | Usuario debe tener tipo de firma vTPC1 o vTPC2. | OK |
| 1440 | Usuario con al menos una tarjeta MC o Visa con saldo disponible para la compra. | OK |
| 1441 | Disponer de un usuario con un contrato de banca a distancia empresa. | OK |
| 1441 | Usuario debe tener tipo de firma vTPC1 o vTPC2. | OK |
| 1441 | Usuario con al menos una tarjeta MasterCard o Visa activas | OK |
| 1441 | Saldo disponible. | OK |
| 1443 | Disponer de un susuario con un contrato de banca a distancia empresa. | OK |
| 1443 | Usuario debe tener tipo de firma vTPC1 enrolado en el dispositivo. | OK |
| 1443 | Usuario con al menos una tarjeta MasterCard o Visa activas | OK |
| 1443 | Saldo. | OK |
| 1444 | Disponer de un susuario con un contrato de banca a distancia empresa. | OK |
| 1444 | Usuario debe tener tipo de firma vTPC1. | OK |
| 1444 | Usuario con al menos una tarjeta MasterCard o Visa activas | OK |
| 1444 | Saldo. | OK |
| 1445 | Disponer de un susuario con un contrato de banca a distancia empresa. | OK |
| 1445 | Usuario debe tener tipo de firma vTPC2. | OK |
| 1445 | Usuario con al menos una tarjeta MasterCard o Visa activas | OK |
| 1445 | Saldo. | OK |
| 1448 | Disponer de un susuario con un contrato de banca a distancia particular. | OK |
| 1448 | Usuario debe tener tipo de firma vTPC1 no enrolado en el dispositivo. | OK |
| 1448 | Usuario con al menos una tarjeta con saldo disponible para la compra. | OK |
| 1449 | Disponer de un usuario que contenga un contrato de Banca a distancia | OK |
| 1449 | tipo Empresa | OK |
| 1449 | con firma VTPC2 | OK |
| 1449 | que disponga de movimientos de mas de 90 dias en una cuenta | OK |
| 1450 | Disponer de un usuario que contenga un contrato de Banca a distancia | OK |
| 1450 | tipo Particular | OK |
| 1450 | con firma VTPC1 enrolada en el dispositivo | OK |
| 1450 | que disponga de movimientos de mas de 90 dias en una cuenta | OK |
| 1452 | Un usuario particular de banca a distancia | OK |
| 1452 | que no tenga la cuenta Ahorro Sabadell | KO |
| 1452 | y un movimiento que se pueda ahorrar | KO |
| 1453 | Un usuario particular de banca a distancia | OK |
| 1453 | que dispone de movimientos | OK |
| 1453 | y está dado de alta en bizum. | KO |
| 1454 | Tener un usuario con contrato de banca a distancia | OK |
| 1454 | de Tipo particular | OK |
| 1454 | con movimientos recientes (inferiores a dos años) | OK |
| 1454 | y movimientos de más de 2 años de antiguedad. | OK |
| 1455 | Tener un usuario con contrato de banca a distancia | OK |
| 1455 | de Tipo particular | OK |
| 1455 | con movimientos en la cuenta de diferentes importes | OK |
| 1456 | Tener un usuario con contrato de banca a distancia | OK |
| 1456 | de Tipo particular | OK |
| 1456 | con movimientos en positivo y en negativo | OK |
| 1458 | Disponer de un usuario Particular | OK |
| 1458 | vTPC1 con contrato de banca a distancia | OK |
| 1458 | y avisos y alertas activado. | OK |
| 1458 | Debe poseer movimientos en cuenta con importes disponibles a fraccionar. | OK |
| 1458 | Debe disponer de tarjetas de crédito sin saldo disponible | OK |
| 1460 | Disponer de un usuario Particular | OK |
| 1460 | vTPC1 con contrato de banca a distancia | OK |
| 1460 | y avisos y alertas activado. | OK |
| 1460 | Debe poseer movimientos en cuenta con importes disponibles a fraccionar. | OK |
| 1460 | El usuario no debe disponer de tarjetas de crédito contratadas | KO |
| 1462 | Disponer de un usuario que contenga un contrato de Banca a distancia | OK |
| 1462 | tipo Particular | OK |
| 1462 | con vTPC2 o VTPC1 no enrolado | OK |
| 1462 | que disponga de movimientos de mas de 90 dias en una cuenta | OK |
| 1463 | Disponer de un usuario con contrato de banca a distancia | OK |
| 1463 | de tipo particular | OK |
| 1463 | Tenga más de 5 cuentas | OK |
| 1465 | Disponer de un usuario que disponga de un contrato de banca a distancia | OK |
| 1465 | tipo Particular | OK |
| 1465 | No tenga el DNI actualizado. | KO |
| 1465 | Que sea usuario objetivo para poder actualizar el DNI desde BSM. | OK |
| 1467 | Disponer de un usuario particular con contrato de banca a distancia | OK |
| 1467 | Debe disponer por lo menos de una cuenta asociada. | OK |
| 1467 | La cuenta de que dispone debe de tener por lo menos un recibo pagado y que se haya solicitado su devolución recientemente. | KO |
| 1468 | Disponer de un usuario Empresa con contrato de banca a distancia. | OK |
| 1468 | Debe disponer por lo menos de una cuenta asociada. | OK |
| 1468 | La cuenta de que dispone debe de tener por lo menos un recibo pagado recientemente. | KO |
| 1470 | Disponer de un usuario tipo empresa | OK |
| 1470 | que disponga de un contrato de banca a distancia | OK |
| 1470 | Tenga cuentas asociadas. | OK |
| 1470 | El usuario debe tener contrato de fondos activo. | KO |
| 1470 | El usuario debe haber realizado operaciones con los fondos que reflejen movimientos en estos. | KO |
| 1472 | Disponer de usuario con contrato de banca a distancia dado de alta. | OK |
| 1472 | Tener un usuario de tipo empresa | OK |
| 1472 | que tenga cuentas asociadas. | OK |
| 1472 | El usuario debe tener contrato de fondos activo que no sea Garantizado (Prudente, Mixto, etc). | KO |
| 1472 | El usuario debe haber realizado operaciones con los fondos que reflejen movimientos en estos. | KO |
| 1473 | Disponer de usuario con contrato de banca a distancia dado de alta. | OK |
| 1473 | Tener un usuario de tipo particular | OK |
| 1473 | que tenga cuentas asociadas. | OK |
| 1473 | El usuario debe tener contrato de fondos activo. | KO |
| 1473 | El usuario debe haber realizado operaciones con los fondos que reflejen movimientos en estos. | KO |
| 1474 | Disponer de usuario de tipo empresa | OK |
| 1474 | con contrato de banca a distancia dado de alta | OK |
| 1474 | Tenga cuentas asociadas. | OK |
| 1474 | El usuario debe tener contrato de fondos activo | KO |
| 1474 | y haber realizado operaciones con los fondos que reflejen movimientos en estos. | KO |
| 1475 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia | OK |
| 1475 | de | OK |
| 1475 | de tipo Particular | OK |
| 1475 | El usuario debe disponer de al menos un Fondo de Inversión activo. | KO |
| 1475 | El usuario debe tener un perfilado MIFID. | KO |
| 1476 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia | OK |
| 1476 | de | OK |
| 1476 | de tipo Particular | OK |
| 1476 | El usuario debe disponer de al menos dos Fondo de Inversión activos. | KO |
| 1476 | El usuario debe tener un perfilado MIFID. | KO |
| 1477 | Disponer de un usuario con contrato de banca a distancia | OK |
| 1477 | de tipo particular | OK |
| 1477 | SIN contrato de Autorenting | KO |
| 1478 | Disponer de un usuario de tipo particular | OK |
| 1478 | que tengan contrato de banca a distancia | OK |
| 1478 | que sea de Gestión Activa | KO |
| 1478 | Firma digital. | OK |
| 1479 | Disponer de un usuario con contrato de banca a distancia | OK |
| 1479 | de tipo particular | OK |
| 1479 | que tenga varias tarjetas | OK |
| 1479 | Al menos tenga una tarjeta asociada a una cuenta con movimientos. | KO |
| 1479 | Disponer de un contrato de Instant Money dado de alta para el usuario. | KO |
| 1479 | Disponer de avisos y alertas dados de alta para la tarjeta seleccionada. | OK |
| 1480 | Disponer de un usuario particular con contrato de banca a distancia | OK |
| 1480 | que disponga por lo menos de una cuenta asociada con saldo. | OK |
| 1480 | El usuario debe disponer de al menos una Línea Expansión activa | KO |
| 1480 | Saldo disponible a Amortizar | KO |
| 1484 | Disponer de un usuario particular que tenga contrato de banca a distancia | OK |
| 1484 | Disponga de una línea expansión en curso. | KO |
| 1484 | Disponer de saldo suficiente en la línea expansión para poder realizar la operación. | KO |
| 1485 | Disponer de un usuario autónomo con LIPO contratada y disposiciones realizadas con cuotas pendientes para realizar la amortización. | KO |
| 1486 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 1486 | de | OK |
| 1486 | de tipo Particular | OK |
| 1486 | y tipo de firma VTPC1 | OK |
| 1488 | Disponer de un usuario que disponga de un contrato de banca a distancia | OK |
| 1488 | de tipo Empresa | OK |
| 1488 | que disponga de un tipo de firma vTPC2 | OK |
| 1488 | que tenga configurada un tipo de firma conjunta para poder realizar la operación | KO |
| 1489 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia | OK |
| 1489 | de tipo Empresa | OK |
| 1489 | que disponga de tarjetas pendientes de activar. | OK |
| 1489 | Disponer de la aplicación SIBIS para poder obtener la fecha de caducidad de la tarjeta | KO |
| 1490 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia | OK |
| 1490 | de | OK |
| 1490 | de tipo Particular | OK |
| 1490 | que disponga de tarjetas pendientes de activar. | OK |
| 1490 | Disponer de la aplicación SIBIS para poder obtener la fecha de caducidad de la tarjeta | KO |
| 1491 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 1491 | tipo Empresa | OK |
| 1491 | con firma VPTC1 | OK |
| 1491 | que disponga de tarjetas de credito | OK |
| 1491 | y en los movimientos de cuentas tenga liquidaciones de estas tarjetas | KO |
| 1492 | Disponer de un usuario empresa | OK |
| 1492 | que tenga varias tarjetas | OK |
| 1492 | Por lo menos tenga una tarjeta asociada a una cuenta con movimientos. | KO |
| 1492 | La tarjeta tiene que ser con plástico activo. | KO |
| 1492 | La tarjeta seleccionada debe estar activada y con posibilidad de operar con ella. | KO |
| 1494 | Disponer de un usuario Particular | OK |
| 1494 | con contrato de banca a distancia | OK |
| 1494 | y avisos y alertas activado. | OK |
| 1494 | Debe poseer movimientos en tarjetas con importes disponibles a fraccionar. | OK |
| 1495 | Disponer de usuario con contrato de banca a distancia | OK |
| 1495 | de | OK |
| 1495 | de tipo Particular | OK |
| 1495 | Tenga al menos una tarjeta de crédito con algún movimiento fraccionable. | OK |
| 1496 | Usuario particular con firma vTPC1 o vTPC2 | OK |
| 1496 | Con Tarjetas Mixta de beneficiarios | KO |
| 1498 | Disponer de un usuario con contrato de banca a distancia | OK |
| 1498 | de | OK |
| 1498 | de tipo Particular | OK |
| 1498 | que tenga una o varias tarjetas prepago asociadas | KO |
| 1498 | y al menos una de ellas tenga movimientos | OK |
| 1498 | y esté activa. | OK |
| 1498 | Este usuario debe disponer a su vez, de una o varias cuentas activas. | OK |
| 1499 | Disponer de un usuario con contrato de banca a distancia | OK |
| 1499 | de | OK |
| 1499 | de tipo Particular | OK |
| 1499 | que tenga una o varias tarjetas asociadas | OK |
| 1499 | y al menos una de ellas tenga movimientos | OK |
| 1499 | y esté activa. | OK |
| 1499 | Este usuario debe disponer de una o más tarjetas prepago activas | KO |
| 1499 | y disponer a su vez, de una o varias cuentas activas. | OK |
| 1501 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 1501 | de tipo particular | OK |
| 1501 | Tenga una o varias tarjetas de crédito. | OK |
| 1502 | Disponer de un usuario particular que tenga cuentas asociadas | OK |
| 1502 | Al menos una de ellas tenga saldo para poder traspasar | KO |
| 1502 | Disponer de un usuario que tenga tarjetas activas y operativas vinculadas a la cuenta de la que queremos traspasar. | OK |
| 1503 | Disponer de un usuario con contrato de banca a distancia | OK |
| 1503 | de tipo Empresa | OK |
| 1503 | que tenga una o varias tarjetas de crédito asociadas | OK |
| 1503 | y al menos una de ellas tenga movimientos | OK |
| 1503 | y esté activa. | OK |
| 1503 | Este usuario debe disponer a su vez, de una o varias cuentas activas. | OK |
| 1504 | Usuario particular con firma vTPC1 o vTPC2 | OK |
| 1504 | Con Tarjetas de beneficiarios | KO |
| 1506 | Disponer de un usuario particular que tenga varias tarjetas | OK |
| 1506 | Al menos tenga una tarjeta asociada a una cuenta con movimientos. | KO |
| 1506 | La tarjeta seleccionada debe estar activada y con posibilidad de operar con ella. | KO |
| 1506 | La tarjeta debe tener saldo suficiente para realizar la operación. | OK |
| 1507 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia | OK |
| 1507 | de | OK |
| 1507 | de tipo Particular | OK |
| 1507 | que posea al menos un plan de ahorro activo sin aportación | KO |
| 1507 | y tipo de firma vTPC1. | OK |
| 1507 | También tiene que poseer una cuenta con saldo suficiente para hacer una aportación | KO |
| 1509 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia | OK |
| 1509 | de | OK |
| 1509 | de tipo Particular | OK |
| 1509 | que posea al menos un plan de ahorro activo sin aportación periódica. | KO |
| 1509 | También tiene que poseer como mínimo una cuenta con saldo positivo y suficiente para hacer aportaciones | KO |
| 1511 | Disponer de un usuario particular con contrato de banca a distancia | OK |
| 1511 | Debe disponer por lo menos de una cuenta asociada con saldo suficiente. | OK |
| 1511 | El usuario debe disponer de al menos un plan de pensión dado de alta. | KO |
| 1511 | El plan no debe tener una aportación periódica previa. | KO |
| 1517 | Disponer de un usuario particular con contrato de banca a distancia | OK |
| 1517 | Debe disponer por lo menos de una cuenta asociada con saldo suficiente. | OK |
| 1517 | El usuario debe disponer de al menos un plan de pensión dado de alta. | KO |
| 1517 | El plan no debe tener una aportación periódica previa. | KO |
| 1519 | Disponer de un usuario particular con contrato de banca a distancia | OK |
| 1519 | Debe disponer por lo menos de una cuenta asociada con saldo suficiente. | OK |
| 1519 | El usuario debe disponer de planes de pensiones dados de alta. | KO |
| 1519 | El plan de pensiones no debe disponer de una aportación periódica previa. | KO |
| 1520 | Disponer de un usuario particular con contrato de banca a distancia | OK |
| 1520 | Debe disponer por lo menos de una cuenta asociada con saldo suficiente. | OK |
| 1520 | El usuario debe disponer de al menos un plan de pensión dado de alta. | KO |
| 1522 | Disponer de un usuario particular con contrato de banca a distancia | OK |
| 1522 | Debe disponer por lo menos de una cuenta asociada con saldo suficiente. | OK |
| 1522 | El usuario debe disponer de planes de pensiones dados de alta. | KO |
| 1523 | Disponer de un usuario particular con contrato de banca a distancia | OK |
| 1523 | Debe disponer por lo menos de una cuenta asociada con saldo suficiente. | OK |
| 1523 | El usuario debe disponer de al menos un Plan de Previsión de Asegurados dados de alta. | KO |
| 1523 | El plan de previsión de asegurados no debe tener una aportación periódica previa. | KO |
| 1525 | Disponer de un usuario particular con contrato de banca a distancia | OK |
| 1525 | Debe disponer por lo menos de una cuenta asociada con saldo suficiente. | OK |
| 1525 | El usuario debe disponer de al menos un plan de previsión de asegurado dado de alta. | KO |
| 1525 | El plan no debe tener una aportación periódica previa. | KO |
| 1531 | Disponer de un usuario particular con contrato de banca a distancia | OK |
| 1531 | que disponga de por lo menos una cuenta asociada con saldo suficiente. | OK |
| 1531 | El usuario debe disponer de planes de previsión de asegurados dados de alta | KO |
| 1531 | y éste NO debe tener una aportación periódica previa. | KO |
| 1533 | Disponer de un usuario particular con contrato de banca a distancia | OK |
| 1533 | El usuario debe disponer de al menos un plan de previsión asegurados dado de alta | KO |
| 1533 | con una aportación periódica dada de alta previamente. | KO |
| 1534 | Disponer de un usuario particular con contrato de banca a distancia | OK |
| 1534 | El usuario debe disponer de al menos un plan de pensión dado de alta | KO |
| 1534 | con una aportación periódica dada de alta previamente. | KO |
| 1537 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia | OK |
| 1537 | de | OK |
| 1537 | de tipo Particular | OK |
| 1537 | que posea al menos un plan de ahorro activo | KO |
| 1539 | Disponer de un usuario particular con contrato de banca a distancia | OK |
| 1539 | El usuario debe disponer de al menos un plan de pensión dado de alta | KO |
| 1539 | con una aportación periódica dada de alta previamente. | KO |
| 1540 | Tener un usuario con contrato bancario a distancia | OK |
| 1540 | Tipo Empresa | OK |
| 1540 | con más de un producto del mismo tipo contratado | KO |
| 1541 | Tener un usuario con contrato bancario a distancia | OK |
| 1541 | de tipo Empresa | OK |
| 1541 | que disponga de al menos una cuenta | OK |
| 1541 | una tarjeta | OK |
| 1541 | un producto de Financiación | KO |
| 1541 | y un producto de Ahorro-Inversión. | KO |
| 1542 | Tener un usuario con contrato bancario a distancia | OK |
| 1542 | Tipo Empresa | OK |
| 1544 | Tener un usuario con contrato bancario a distancia | OK |
| 1544 | de tipo Empresa | OK |
| 1544 | con más de 1 cuenta | OK |
| 1546 | Tener un usuario particular que sea | OK |
| 1546 | cliente de Banco Sabadell | OK |
| 1548 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 1548 | de | OK |
| 1548 | de tipo Particular | OK |
| 1548 | Disponga de seguros dentro un Plan personalizado de protección | KO |
| 1550 | Disponer de usuario con contrato de banca a distancia | OK |
| 1550 | de | OK |
| 1550 | de tipo Particular | OK |
| 1550 | que tenga tarjeta de crédito con movimientos. | OK |
| 1551 | Disponer de usuario con contrato de banca a distancia | OK |
| 1551 | de | OK |
| 1551 | de tipo Particular | OK |
| 1551 | que tenga tarjeta de débito con movimientos. | OK |
| 1553 | Disponer de un usuario Particular | OK |
| 1553 | con contrato de banca a distancia | OK |
| 1553 | y avisos y alertas activado. | OK |
| 1553 | Debe tener movimientos en tarjetas con importes ya fraccionados | OK |
| 1553 | Tenga cuotas pagadas y cuotas por pagar. | KO |
| 1554 | Disponer de un usuario Particular | OK |
| 1554 | con contrato de banca a distancia | OK |
| 1554 | y avisos y alertas activado. | OK |
| 1554 | -- | KO |
| 1117 | Tener un usuario Empresa | OK |
| 1117 | Ha de ser titular de mínimo 4 cuentas para que se habilite la opción Buscador | OK |
| 1117 | El usuario ha de tener firma tipo VTPC2 | OK |
| 1119 | Disponer de un usuario que disponga de un contrato de banca a distancia | OK |
| 1119 | tipo Empresa | OK |
| 1119 | Pueda acceder como agente desde el acceso a empresas | KO |
| 1119 | El usuario Red de agente, debe poseer al menos un CCV en su contrato Empresa | KO |
| 1119 | El usuario Red de agente debe disponer de al menos un cliente con CCV contratadas | KO |
| 1121 | Disponer de un Usuario que disponga de al menos una cartera BSFGS como Particular | KO |
| 1121 | otra BSFGS como Empresa. | KO |
| 1121 | Esta persona Fisica debe disponer un contrato de Banca a distancia | OK |
| 1121 | de tipo Particular | OK |
| 1121 | y otro contrato tipo Empresa. | OK |
| 1121 | En el contrato de Particular y en el de Empresas debe tener marcada ver cuentas de Particulares/empresas respectivamente | KO |
| 1122 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia | OK |
| 1122 | tipo Empresa | OK |
| 1122 | Contrato confirmiline. | KO |
| 1122 | Dicho contrato tiene que tener saldo dispuesto (órdenes) | KO |
| 1124 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 1124 | de tipo Empresa | OK |
| 1124 | que disponga de una cuenta con movimientos | OK |
| 1124 | Disponga de PDFs cargados de estos movimientos | KO |
| 1128 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia | OK |
| 1128 | tipo Empresa | OK |
| 1128 | que posea cuenta con más de 3000 movimientos | OK |
| 1142 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia | OK |
| 1142 | tipo Empresa | OK |
| 1142 | que disponga del check Norma 43 | KO |
| 1142 | Posea cuenta con | OK |
| 1142 | Con movimientos de transferencias | OK |
| 1148 | Disponer de un usuario que disponga de un contrato de banca a distancia | OK |
| 1148 | tipo Empresa | OK |
| 1148 | El nombre de la empresa contenga guiones y apostrofes | KO |
| 1148 | este usuario debe tener diversas cuentas | OK |
| 1148 | de las cuales al menos una debe tener movimientos | OK |
| 1150 | Disponer de un usuario que disponga de un contrato de banca a distancia | OK |
| 1150 | tipo Empresa | OK |
| 1150 | Pueda acceder como agente desde el acceso a Empresas | KO |
| 1164 | Usuario con contrato de banca a distancia empresas. | OK |
| 1164 | Fichero en formato base de datos Banc Sabadell de adeudos directos sepa | KO |
| 1166 | Usuario con contrato de banca a distancia empresas. | OK |
| 1166 | Fichero en formato txt de confirming | KO |
| 1168 | Usuario con contrato de banca a distancia empresas. | OK |
| 1168 | Fichero en formato xml de transferencias | KO |
| 1172 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia | OK |
| 1172 | tipo Empresa | OK |
| 1172 | que posea cuenta con saldo | KO |
| 1174 | Disponer de acceso a UAT | KO |
| 1188 | Disponer de un usuario que tenga dado de alta un contrato de banca a distancia | OK |
| 1188 | tipo Empresa | OK |
| 1188 | Varios contratos o líneas de riesgo vigente | KO |
| 1188 | con al menos una línea que posea más de 20 movimientos. | KO |
| 1194 | Disponer de un usuario que contenga un contrato de banca a distancia | OK |
| 1194 | tipo Empresa | OK |
| 1194 | con firma VTPC2 | OK |
| 1194 | que disponga de operaciones de transferencia nacional pedientes de firma | KO |
